hs_class,text
positive,rakyat jawa barat cerdas inshaaallah dukung calon ai ai bela ahok nista agama uniform resource locator
positive,turun cina racist paham sejarah indonesia paham
positive,bodoh cerita cinta sepe imu nih tolol
positive,jijik anak dukung prabowo pendeta setan
positive,asu soh orang orang kayak nih bani micin
positive,biang gaduh partai adil sejahtera sih percaya partai adil sejahtera kayak beliau profesor tulis sok pintar sok kontra profesor beliau tuntut ilmu keliling dunia orang goblok goblok ya
positive,mari lawan hancur rezim kocak jongos cina komunis
positive,dangkal otak benci suha o partai komunis indonesia
positive,idola harun yahya zakir feliiauw cita cita kuasa dunia kalah yahudi rahmat alam semesta kali iya bumi 13
positive,susilo bambang yudhoyono presiden gemuk ya restoran 8 juta ya jaman jokowi 800
positive,kunyuk nya berani pulang cecunguk cecunguk setia tunggu haha asli tertawa
positive,woyyyy bangsulll peang goblok anjirrrrr blok gueeee cukkkkk
positive,syaitan iblis ganggu suara azan hati nyata bu suka nama
positive,hutang bangun korupsi cebong nge i ya pret
positive,wajar cebong gila akibat bela sih kodok indonesia hancur lebur
positive,polisi republik indonesia tangkap prabowo hina presiden media sosial uniform resource locator hukum hina jokowi megawati
positive,diam lu cina keparat
positive,buka lihat bohong bohong jokowi laku hadap rakyat orang tipu sepe i pimpin
positive,36 dasar fakta sejarah jokowi mundur jatuh musuh umat islam
positive,wkwk cebong dungu bicara cebong onta cangkemmu 
positive,indah cocot partai adil sejahtera bicara ketua kayak bencong gaya bicara aduh sadizzz
positive,bicara ulama mengatasnamakan syar i haram
positive,zalim kroni kroni megawati menang zalim kroni kroni daur ulang sejarah
positive,salah pilih gubernur usung isu sara
positive,amien tuduh prabowo dalang buah rusuh
positive,kaum bani kampret sumbu pendek hidup bumi datar
positive,salah kafir nainggolan ajak tonton film kafir panggil bang lai keok belgia
positive,nakal polisi kuat animo umat islam lengser jokowi 2019
positive,mata picek
positive,negara teroris nyata mayoritas buddha
positive,negara genting defisit 3 jokowi lengser rakyat jokowi lengser retweet
positive,tinggal anies copot jabat gubernur daerah khusus ibukota lantar kunjung
positive,meh cocok sube wa off telepon angkat dasar berengsek
positive,usir duta myanmar
positive,huhu kim bum plot twist banget sumpah rela monyet biar monyet pindah on eh tau monyet berani tau
positive,tangkap ustaz bajing uniform resource locator
positive,setan dungu nih burittt
positive,kontras radikal intoleran
positive,indosat celeng jancuk bikin bintang gue turun babi bajing
positive,komunis melulu ditii bahas bantai berontak antek teroris nyata
positive,sarap nih dukung prabowo
positive,tai isi banci ya
positive,hubung ai komunis cina rezim antek antek asing
positive,kafir bodoh bengap terang pon aham patut kafir
positive,save komisi berantas korupsi tolak rekomendasi amp bubar panitia khusus angket komisi berantas korupsi tanda tangan petisi uniform resource locator via
positive,sih nih dosen azan break cerocos mulu kunyuk
positive,tangkap sih gerung nista kitab suci agama
positive,bual nih jokowi bicara mulu uniform resource locator
positive,mending presiden kerja nyinyir kaum gunting pita jujunganmu presiden bangun infrastruktur utang utang rakyat mending jokowi ter
positive,najis om om inggu nyata
positive,cebong tolol lari nyata 
positive,eh dongok nama tackle injured debut 20 17 main nya kasar cidera wkwk heran otak
positive,preman kampung monyong putih kasih panggung rusak acara enek lihat
positive,rezim buruk semenjak indonesia merdeka
positive,tau bego ajar maki goblok goblok
positive,presiden boros foya foya rakyat derita jokowi presiden pilih taipan cc 2019 ganti presiden
positive,sakit panik alami kaum begundal kampret bongkrek prabowo presiden panik sp inya jokowi periode
positive,tenaga kerja asing hina bos indonesia jajah lemah erintah mu 2019 ganti presiden 2019 ganti presiden 2019 ganti presiden
positive,komisi berantas korupsi tangkap koruptor komisi berantas korupsi gagal bubar serah polisi jaksa
positive,sih hina al qur an penjara penjara ahok penjara ahok
positive,anut islam garis keras omong lihat mendem kencing onta
positive,mumpung gue puasa ngentot
positive,partai demokrasi indonesia juang gencar serang komisi berantas korupsi bubar partai demokrasi indonesia juang dukung jokowi jokowi jokowi
positive,ganti nama biar cocok mulut sampan onta kencing
positive,era komunis biar kembang
positive,prabowo lucu lawak novel fiksi ghost fleet lucu zul bego 
positive,gara gara presiden plonga plongo ya kiai
positive,emosi gue loey hyung anjir gue pikir keras maksud acara peranjat bego bilang mimpi anjir emosi pangeran 
positive,ganyang partai komunis indonesia musnah
positive,matanajwadebatjaka a urus bacot anis nya juara makan bacot jaka a haha pasang calon aneh gede bacot doang
positive,ajar agama orang islam ajar islam percaya adam nabi dungu sembah allah subhanahu wa taala benci kafir biadab
positive,lagu ari lasso silit
positive,nama kecebong anak kodok nya presiden aduh presiden plonga plongo
positive,nyata jokowi komunis lengser uniform resource locator
positive,lapor rg nista agama orang orang garda utama bela agama munafik adu akrobat munafik
positive,ruhut gila tun 
positive,haha beda sanjung sih babi jijik eh habib rizieq wkwk
positive,cocot comberan tai
positive,tertawa rupiah lemah warganet berita metro televisi
positive,music network bangsat
positive,jablay modal usaha
positive,kaum 1 2 kafir radikal serang pusat pe ahanan umat islam kaum 1 2 kafir percaya otak junk food nya kapasitas zero waspada adu domba kaum 1 2 kafir
positive,mentil mentil goblok tolol bin bahlul onta kampret 
positive,picek mata
positive,salah turun nya cebong kampret definisi komplot sebar hoaks koar koar mencret
positive,be ahun2 ejek cebong jokowi kodok partai komunis indonesia kafir dongok santai panik ya sih panggil kampret 
positive,empu jemaah 1 6 triliun antek jokowi
positive,kuota searching ya monyet nyawa layang rezim orde kuota cari bokep biar otak kayak kampret bothnewyear baca buka wawas
positive,partai demokrasi indonesia juang ainya preman komunis maling racist koruptor tipu partai demokrasi indonesia juang kumpul nya orang orang amoral
positive,lihat banget bego nya empok silvy and agus debat final pilih kepala daerah jakarta
positive,partai komunis indonesia bunuh orang islam anti agama orang islam bantai partai komunis indonesia jihad bela partai komunis indonesia
positive,atuhlah nete goblok
positive,pilih cebong kiai cebong sep abu janda al kampret
positive,harap rizieq shihab pulang hadap hukum orang orang sawah taruh laut pecun dang berengsek jemput paksa kecuali polisi takut
positive,galakin pribumi negeri teriak usang asing gongseng gilir hadap hadap langsung usang asing asing gongseng loyo
positive,congor baginda paham a i dialog baginda paham fulus amp ngaceng
positive,tolak negara islam indonesia berani bubar kua adil agama
positive,lihat tas istri jokowi kampung p
positive,ya gara gara mata wasit picek lihat bola kena raket salah sikap kevin
positive,sumber waras trans jaka a jokowi diam sih kutil babi ahok ganyang
positive,aduh sibuk iya celeng
positive,hati wahabi mugkin layak bubar
positive,tolong polisi republik indonesia periksa anies sandi libat saracen batal angkat sesuai hukum laku
positive,untung ahok nyungsep
positive,bego rizieq korban pe undang undang md3 dasar dungu kaum sumbu pendek
positive,bajing silvy debat final pilih kepala daerah jakarta
positive,haha bangsaaat moral begundal bajing abal abal uniform resource locator
positive,gerombol butuh manusia tolol 
positive,saracen muslim cyber army panasbung cuci otak rinso isis grup onta habis akal otak dungu rakyat tipu
positive,laden ekor cebong kelayaban tuju
positive,ganti kotak kosong dil pilih 2019 ganti presiden
positive,panggil pelan pelan mbak cebong budek 
positive,dukung napi ahok jokowi akal partai adil sejahtera kasihan umat cebong
positive,tolol
positive,ahok tumbang fakta bilang fitnah debat final pilih kepala daerah jakarta
positive,sih ahok nobat babi keprek
positive,hai kunyuk paham ya prabowo subianto calon presiden salah presiden play station pas calon presiden abadi uniform resource locator
positive,slogan tipu teriak pancasila indonesia hati komunis
positive,udik bego haha
positive,benci perangkat digital zaman susilo bambang yudhoyono susilo bambang yudhoyono klarifikasi info sesat main tangkap
positive,bonek jancuk super er suci indonesia maling goreng jarah warung bonek jancuk maaf racist kuat tahan 
positive,hajar jokowi
positive,super gubernur indonesia bangga beda kelas gubernur reklamasi bangga bangga cukong 2019 ganti presiden 2019 presiden periode
positive,yaaaelaaaaaa manusia babi dasar
positive,ustad tukang fitnah tuduh jokowi partai komunis indonesia tangkap
positive,monyet komunis
positive,dasar bencong
positive,anies sandi produk saracen uniform resource locator
positive,taman rezim 2019 rakyat muak 2019 ganti presiden
positive,iya kalah lawan bani taplak wkwk
positive,tai kucing cina intervensi wilayah kalimantan hati hati gara gara ahok si mulut jamban
positive,takut prabowo laku sukses jokowi takut prabowo
positive,nyata alas bakar 7 sekolah dasar palangkaraya perhati amp proyek uniform resource locator
positive,gubernur pilih hancur lihat ahok no 1
positive,dasar antek asing
positive,muka kontol monyet
positive,berat wakil setya novanto dewan wakil rakyat ri pecat setya novanto dewan wakil rakyat ri
positive,tenaga kerja indonesia hongkong takut tenaga kerja indonesia dipengaruhi ustaz ustaz 212 jelang pilih presiden suara suara ln aman uniform resource locator
positive,partai komunis indonesia zombi ancam negara republik indonesia umat islam ganyang partai komunis indonesia uniform resource locator
positive,jaga sehat pikir logika 2019 ganti presiden
positive,refleks sarah cubit pinggang sang adam motor laju cepat alis te aut kesal lantas luncur protes bawa gadis preman pasar idiot
positive,bicara ahmad dhani monyet babi anjing
positive,front bela islam gelar jihad konstitusional lengser jokowi uniform resource locator bijak indonesia mohabbatein
positive,biadab kerja cina buang bendera indonesia tanah asing asing tiongkok uniform resource locator
positive,laku sih bani onta ekstrak tinja ngoaaahahaaaaa salam partai adil sejahtera jahat kelamin syariat
positive,pepatah cocok jongos nyaring ibul saking sibuk kerja citra dolar roket sih tablo plonga dongok
positive,hai ahok pikir kayak wan abut cetek pikir merek islam otak kafir
positive,nyata tulis twit cebong kelas kakap puluh ribu sayang dongok sial haram jadah men fitnah dasar bangsat 
positive,masuk katagori baris dajjal iblis sih bu suka
positive,biar biar tai nya kena ya suka ahok biar kena tai nya
positive,cinta milik orang cinta wkwk kasihan banget suka bilang kayak cinta milik bego
positive,istana asai komunis rakyat lengser jokowi jokowi diktator rakyat tentara nasional indonesia uniform resource locator
positive,prabowo kuli indonesia kalah saing uniform resource locator
positive,bangkai nasib uzur
positive,dongok sepemikiranya sih gerung kitab suci pakai agama islam agama agama nista
positive,bangsaaat tolol anjing bangsat anjing tolol beloon bego ajggggggggg alay anjing bangsat jablay
positive,suara bani kampret mati kenyang
positive,ai sontoloyo
positive,
positive,berengsek anjing ayo ah gila uniform resource locator
positive,cc nafsu tenaga uniform resource locator
positive,cacat ceng
positive,40 jokowi mundur gelar negarawan mustahil be ahan lihat
positive,papah mata picek
positive,jalan tuju indonesia islam indah muslim ajak diskusi
positive,ayat bossku maju anjing nih sedap sopan ajar
positive,komunis sadah bankrut bro iring perestroika cecep gorbachev
positive,anjing ahmad babi ahmad dhani
positive,dewan wakil rakyat tekan jokowi jokowi tolak dewan wakil rakyat bikin hak angket turun jokowi
positive,mubalig pimpin mesjid andal rakyat umat islam giring otak suka kacung cukong biar rakyat umat islam rencana 2019 ganti pra
positive,kasih tau sih ah cocot
positive,tunggu reaksi sih denny siregar cita cita penjara tinggal kenang dasar dungu
positive,percaya agama bajak agama fasih lafal ayat ayat tuhan kutu buruk mulut nama ayat ayat tuhan
positive,mantan menteri jaga wibawa turun berita hoaks ribut asli habis salah beloon
positive,iklan ahok jahat ahok cipta bara api rakyat pribumi tionghoa balut fobia ahok kafir racist
positive,sih staquf yahudi tulen benci arab
positive,bejat spoiler infinity war
positive,jaman bahan bakar minyak rakyat susah gara gara jokowi
positive,ajar rayu jokowi menteri barangkali
positive,ah congor mu zon
positive,dungu budak islam hnw allah subhanahu wa taala tuhan sosok dungu biadab
positive,lupa otak sambung
positive,sakit sembuh gerombol kampret bongkrek sakit panik balas dendam akibat kalah pilih presiden 2014 uniform resource locator
positive,makan babi bentuk wang haram muka babi perangai babi babi politikus ronggeng babi
positive,goblok orang beda cong uniform resource locator
positive,responden institute of southeast asi studies orang indonesia turun cina milik loyalitas hadap republik rakyat cina
positive,berani indonesia republik rakyat cina
positive,nyinyir bani kampret
positive,massa provokasi be eriak ganyang partai komunis indonesia
positive,sih perek
positive,anjing gonggong anies jalan
positive,tommy kena pasal lap korupsi bunuh hakim agung diskon era susilo bambang yudhoyono uniform resource locator
positive,cebong tolol be epi
positive,gue lihat sih anies ya gue banding ahok mudah bilang mampus bajing berengsek tai paham nenek orang hadap publik rapat internal gue sih mending sih anies ya
positive,salah iblis betina gentayang duku calon legislatif gagal nsi tipu ijazah palsu nskg ber 
positive,prabowo presiden istri indonesia hancur
positive,haha lihat lahir ahli cebong 1 tukang tipu cebong goblok ketulungan plonga plongo akibat optimisme 2019 ganti presiden plonga plongo dunning
positive,pilih presiden muslim singapura singapura negara kafir
positive,anjing jokowi presiden urus daerah khusus ibukota mudah
positive,he kontol sok mes rupiah muka kayak memek orang tua kayak monyet agama agama kontol 35
positive,diam tai anaconda
positive,musuh sak modar nyata cocotmu hilang konco 1 bajing koyo koe ra rugi 
positive,rezim anti islam tumbang 2019
positive,dukung 2 periode orang ya 2019 ganti presiden solo 2019 jokowi ganti
positive,hambalang nya gara gara susilo bambang yudhoyono anak buah masuk bui jokowi
positive,diretweet sompret
positive,nama islami laku aduh goblok tampang sesak oi
positive,lengkap kubu anies sandi tukang cabul
positive,survei haha responden cebong kodok kampret a
positive,percaya induk nista tahan bela uniform resource locator
positive,masjid tua candi candi milik raja hindu buddha nusantara usir cina
positive,sih bejat cabul kriminal oceh kriminalisasi ulama dasar munafik
positive,negara demokrasi ya bubar komisi berantas korupsi
positive,sih tiang listrik kampret li junhui gue tabrak pakai bajaj pasang bom dasar cungkring tau
positive,laku jual negara goblok bangun kaki orang kaki bayar hutang utang bos eeeh bego kaya
positive,sih tertawa mulu bangsat
positive,hoooy ayo balas bisu malu kaum iblis hhhhh gelar ahli provokator
positive,gaduh panggil cebong butuh manusia munafik
positive,kampret banget kuat beli telur tebar hoaks kampret kuat ya koruptor selangkang iya coba lihat pakai mata otak gubernur koruptor cewek pret kampret telur kampret murah ceria
positive,mulia anggur perhati banget rakyat rakyat cina 2019 nyalon pilih presiden pilih 2019 ganti presiden
positive, tipu pilih presiden 2014 buzzer cebong dosa tipu
positive,manusia perlente gaya meleteh kayak jambu mente kau manusia das omong bau terasi laku sisi kau manusia sombong suka gonggong bokong bokong kau manusia biadab ntk adab kau manusia bejat ntk
positive,calon rejim suka tabrak atur hukum
positive,gue harap banget kemarin mati harap setya novanto mati pas sakit kemarin setya novanto
positive,prabowo anak berontak
positive,komunis sederhana paksa atur contoh paksa pakai e uang komunis banget rezim komunis
positive,ya gih makan hindu nusantara agama rahmat lil alamin agama bumi agama langit islam nusantara ya monggo sesat
positive,fitnah fitnah suka dasar onta
positive,dongok kaum kafir haha
positive,dajjal cabul tenaga kerja indonesia uniform resource locator
positive,prabowo dalang rusuh mei 98 mustahil presiden papar lengkap uniform resource locator
positive,bego ya kampret potensi rugi cebok mata cing onta
positive,prabowo maju motor dorong
positive,congor ya tolong
positive,rebut saham pegang saham tabok pakai duit hasil utang dasar bani kadal kadal selesai selesai
positive,nyinyir biar ajak gabung presiden kali
positive,cebong standar dungu ragu bukti bilang orang bego aduh
positive,orang tolol balas base akun nya kunci
positive,hem sampah tengok live facebook khair din habis habis pusing pasal manifesto ph agama golong dap cina kristiani he nama dap pas eh geram lepas dok motif nak sel
positive,bubar acara partai komunis indonesia
positive,ahok sah sang napi nista agama ungkit ungkit kisah
positive,selamat kampung selamat unahe junjung ya e kucluk cebong cepek lu
positive,terima kasih saudara umat muslim lelah juang hirau munafik buzzer tebar fitnah
positive,organisasi masyarakat hancur negara republik indonesia wajib bubar partai komunis indonesia
positive,insya allah kuasa jahat jongos budak cina kafir komunis nafsu jajah rampok indonesia hancur allah subhanahu wa taala
positive,orang cina indonesia
positive,alah kontol
positive,bunuh mata mafia koruptor nya nista agama panggil popular nya babi ahok
positive,siyaaaaap tolong kait kait imbal jasa jamin anies sandi kait kait hubung ahok jokowi
positive,mangkrak kayak susilo bambang yudhoyono uniform resource locator
positive,jokowi mundur
positive,7 sekolah bakar kader nya prabowo tanggung
positive,berani putra melayu takut berani teriak teriak bantu hajar mulut bau congor sih ardi goblok
positive,jaman mas jajah merdeka kerja asing korea utara main twitter pakai produk asing tanggung anti asing
positive,alah bacot mulut lelaki terkadang
positive,diam gebuk dewan wakil rakyat
positive,idih najis tujuh turun
positive,i hasil emak emak jual puki asli partai komunis indonesia sih ahok anak cina anjing kafir a negara republik indonesia
positive,hutang nya bangga in bukti rezim gagal 2019 ganti presiden
positive,ya kacrut jaring taekkkkkk
positive,bolot anak alay maiduan kebo parah sebal suka bikin marah marah mesum bau pedean semangat 
positive,nama pancing konflik horizontal polisi biar lengser jokowi indonesia hancur
positive,gaya beruk preman kampung mantan supir tembak metromini masuk dewan wakil rakyat kampung debat ajak rantam 
positive,rezim laknat sih jokowi kodok 2019 ganti presiden 2019 ganti presiden 2019 jokowi
positive,sibuk jilat bokong jokowi ambil ilham sepe i subhanallah
positive,sih janda sebar hoaks gagah culun muncul gaya gagah simpul janda culun 
positive,tumbang jokowi radikal lengser jokowi
positive,sah survei mayoritas warga jokowi presiden duit jalan sembako chopper 2019 ganti presiden
positive,e dul sebar ahok hongkong sapa tau ahok gubernur hongkong haha uniform resource locator
positive,ekonomi merosot utang bengkak badan usaha milik negara jual jokowi mundur chirpstory uniform resource locator
positive,acara dungu biadab bangsa aji budaya muhammad arab buta huruf nabi ganti budaya baca
positive,allah subhanahu wa taala tuhan wasiat bukti dungu biadab
positive,hati hati pakai foto aung suu kyin jabat indonesia lapor polisi aiparno uniform resource locator
positive,anak setan
positive,ya tuhan banget cerita inti agens berengsek
positive,partai komunis indonesia adakan prabowo calon presiden pilih prabowo bilang partai komunis indonesia gue pilih jokowi bilang emue pikir
positive,idiot banget sih bang luk uniform resource locator
positive,tambang asing rampok sda indonesia sepe i freepo legal ya
positive,bantu rohingya prabowo citra bicara tok kayak prabowo ya
positive,gerombol bela partai komunis indonesia nyata kolam dukung nista aduh
positive,orang marah tipu janji palsu jokowi lapor polisi nih dasar gila
positive,bodoh jajah budak islam tuhan orang tuhan layak sembah
positive,cina ahoker berani bayar pribumi aparat aparat korup legal aktivitas cina bangsa suku indonesia usir cina
positive,bukti biarpun cebong otak pintar kerja kerja kerja kayak kamprettt cocot mulut otak pakai layar shot cakap bukti si
positive,putar goblok bikin emosi ya
positive,keparat
positive,berisik tai ngentot diam jempol
positive,komplit banjir tenaga kerja asing tenaga kerja asing jokowi restu warga negara asing duduk jabat direksi badan usaha milik negara parah negeri pilih 2019 ganti presiden 2019 ganti presiden
positive,haha banci kaleng langsung nyungsep pakai akun palsu banci ya saracen waspada waspada
positive,tulis twit kafirun munafik bau bau partai komunis indonesia pancasila indonesia mental mental kacung
positive,cina angkat kaki istana
positive,bolot
positive,ahok kafir takut debat rakyat asli pribumi nelayan pakar reklamasi rakyat ahok kafir bencong
positive,mundur mas tolol
positive,kesini bangsat
positive,manusia anjing mati mati rela mu adz babi ahok kafir uniform resource locator
positive,ahok gubernur preman tn abang
positive,cebong sampah masyarakat
positive,emak jual ya bajing anak lacur rupa
positive,bantu muslim rohingya bilang bilang citra tau
positive,rawat bangsa masker cap sara alas anies sandi
positive,cebong otak asa korban tau nyinyir
positive,dagang aneh nyata nya harga puluh ribu kilogram nya nasional idul fitri lebaran puluh ribu aneh nya beras murah rezim aneh
positive,tenaga kerja asing cina masuk indonesia masuk om curiga cina cina ahoker
positive,bobrok birokrasi anies sandi jabat uniform resource locator via
positive,maklum ai komunis sejahtera
positive,berengsek tri aplikasi bima tri hapus sih
positive,tuding duga korupsi susilo bambang yudhoyono dorong jaksa usut himbau komisi berantas korupsi usut duga korupsi jokowi solo raya
positive,jokowi sepe i karno lengser paham
positive,bagus dewan wakil rakyat bubar
positive,ustad ngentot ngentot pas dakwah ya kasih kutip dakwah 
positive,bolot alias daki 
positive,iya kampang
positive,rusak jadwal teknisi rumah pagi sore tunggu kacrut
positive,by the way sih ratu tiru afi hinayah undang jokowi istana posting tiru iya ancam bunuh ya allah
positive,tuju banget coba ahok gubernur daerah khusus ibukota tamat nih rumah sakit
positive,bedebah teror psikologis pilih jokowi
positive,ijazah mu sih cek beda juang rakyat semesta semesta
positive,66 najis banget gue kepruk ya gubernur
positive,orang indonesia bego
positive,tim sukses jokowi jatah pe amina rugi uniform resource locator
positive,rezim ganti pulang anti islam percaya
positive,kelas pilih jokowi lawan prabowo ham hancur ya indonesia
positive,silit ardhog 
positive,kafir
positive,rezim anti islam fadli zon anti negara republik indonesia coba bentur umat islam negara amp aparat
positive,bicara dasar ya nasrani kafir
positive,ganti mudah mudah ekonomi sulit
positive,lengser gebuk bukti dukung radikalisme
positive,dasar lelaki kardus lelaki karpet lelaki kencrot lelaki bangkrut lelaki mencret lelaki kernet lelaki bangsaaaaaaaatttt
positive,eh positif guys tekan kaum 212 bela agama kitab suci fiksi fiksi isi norma hidup
positive,telkomsel kacrut nih puluh menit wa telepon cihui
positive,dukung ahok tangkap zaman jokowi
positive,sok inggris anjir repot fi nya cerita panjaaangg inti cuek cuek najis nyata isi apes orang desc nya ya orang ekspres tebak sebal
positive,mustahil polisi berani tangkap kubu mustahil bin mustahil kepala polisi republik indonesia politic id
positive,alah komplot banci
positive,partai komunis indonesia sila rekonsiliasi cebong dungu kolam
positive,26 48 65 98 komunis hasil kuasa penuh rezim
positive,nyata indonesia anggota negara makmur cina iya makmur cina
positive,bismillahirrahmanirrahim niat rida amp ikhlas janji jokowi kalah pilih presiden 2019 sujud syukur alun alun majalengka amp kibar bendera merah putih panyaweuyan moga umur tunai j
positive,17 tanah rakyat kembang modus korupsi ahok gubernur jaka a asumsi rp5 juta m2 rupiah 85 triliun
positive,nama indra j piliang status periksa narkotika duga dukung anies sandi
positive,eh cebong jaga congor bicara salah bong 2019 presiden 2019 presiden 2019 ganti presiden 2019 ganti presiden 2019 ganti presiden
positive,gue berangkat remaja lagu lagu cebong dungu kenyang tulalit
positive,eh onta tolol kasihan orang tua lahir ekor binatang sepe i mu dasar kaum bumi datar partai adil sejahtera laknat
positive,rezim keren orde bikin kontrak bikin sengsara rakyat presiden bikin freepo saham gede jokowi nyinyir bera i antek asing indonesiakuasaifreepo joko
positive,sirik nih onta
positive,ah kampret cebong
positive, rezim cebong lihat realita rakyat
positive,nyata gue salah sangka dasar tipu bejat laknat sunat
positive,hdh cakap cakap bolot
positive,median mayoritas rakyat jokowi presiden 2019 ganti presiden
positive,sih universitas turun mulu cacat banget kesal gue
positive,prabowo subianto prabowo subianto rupa anak biologis soemitro djojohadikoesoemo penghianat bangsa uniform resource locator
positive,barang takut allah be akwa menang 24 52 salah takut betasemen khusus 88
positive,cebong buta tuli nyata timpa negeri bela rezim gampang doktrin pidato data indehoi perintah
positive,sesuai tap majelis musyawarat rakyat pecat jokowi diam jokowi langgar tap majelis musyawarat rakyat layak lengser majelis musyawarat rakyat takut 98 ulang
positive,mak lambe monyong bajing diam iya lambe monyong dasar goblokkkk uniform resource locator
positive,cocot kintil
positive,diam anjing daniel edan ya
positive,tolol sih cal laki
positive,persib kunyuk 
positive,cupu
positive,ya tabok orang
positive,komisi berantas korupsi lembaga negara berantas korupsi lemah lemah dewan wakil rakyat uniform resource locator
positive,izin pintu camat politis ai rampok otak e cacing bilang 
positive,culun kayak pawai tujuh bas
positive,ganyang partai demokrasi indonesia p partai demokrasi indonesia p ubah nama partai komunis indonesia
positive,ya orang orang islam tunduk ketiak rezim anti islam cc
positive,stres ahoker tai
positive,harga turun 180 derajat otak campur nanah kencing onta sadar woi 2019 ganti telor
positive,menteri agama ajar dungu biadab alquran masyarakat te ipu
positive,men are sampah wkwk jap daler pahal orang cacat
positive,maju anjing nih orang tshi beli haha
positive,a is kampung gmnin udik kampung handphone anak gue cemplung gue beli pakai keringat halal hasil kangkang laki orang
positive,jabar wakil gubernur konsisten meika agate
positive,2019 ganti presiden suka umbar janji lengser
positive,hindar partai politik lindung preman nista agama koruptor bohong jual aset negara impor kuli asing suka utang
positive,19 khilafah tempuh bikin ai tii bahaya ideologi komunis
positive,anjir paypal anjing banget kena fee nya
positive,keluarga halilintar hem km tau udik
positive,pokok teroris jancuk
positive,kerja seks komersial tawar gerindra joko wi rakyat kere suruh jual kali bantu
positive,lapor posko juang rakyat dukung lapor rawan juang demokrasi organisasi sayap partai demokrasi indonesia juang
positive,lelah hayati gedung teriak jokowi bela komunis antek orde gedung mentwit jokowi represif medioker ham kayak orde
positive,model ceramah nya kayak jancuk silit celeng gus gus
positive,cebong ya bau amis
positive,asma dewi ciduk alumni 212 dukung anies sandi loyalis prabowo
positive,fakta pilih kepala daerah daerah khusus ibukota imbal jasa jamin dukung anises sandi 2014 narkoba iya candu 1 dukung anies sandi
positive,haha apes menteri media sosial cocok cocot buka kerja apes
positive,jilbab akhlak pecun ncuihhh
positive,tipu berani bilang uji allah aduh ampun deh bodoh bin idiot orang
positive,pret kampret dukung 2019 ganti presiden presiden sapa rocky gerung kafir kah
positive,gera komunis langsung sembunyi kabar kah anti jaring islam liberal anti syiah anti komunis media islam
positive,iya akun hutang negara pimpin kalah gunung sahari
positive,empok silvy nyinyir melulu pe anyaan nya sayang sesat maklum sih dese mak mak devat final daerah khusus ibukota debat final pilih kepala daerah jakarta
positive,allah subhanahu wa taala halal a rampas janji rampas muslim buang islam teriak no korupsi
positive,bambang muka kontol hina ulama gue hajar dasar antek komunis
positive,wajah lihat beloon munafik sok pintar sok suci iblis
positive,hati hati bani onta nyinyir bilang ahok sih kafir citra wkwk hati hati bani onta cari taktik nyinyir 
positive,telusur cepat pe emuan hatta ali setya novanto pecat hakim sepi main mata
positive,kafir asli menang busa mulut alam nyata cundang oh puja prabowo
positive,indonesia mundur jokowi kroni kroni kelola isu uniform resource locator
positive,anjing najis banget mino jelek
positive,hidup cebong produksi makan hoaks
positive,tuntas mental jabat maling wakil rakyat khianat aparat keparat birokrasi emen suka maksiat suka tusuk pantat fa cup final
positive,etnis asli singapura kuasa melayu cina jajah rebut
positive,dasar manusia homo
positive,op rohingya orang kristen bunuh afghanistan orang yahudi bunuh palestina muslim teroris
positive,urus urus gue hina banget orang
positive,pribadi peduli tipu islam menteri tipu buka
positive,teman manusia homo heran
positive,twitter gusur gusur rakyat derita
positive,panas terima korban jonru ginting warganet protes korban jokowi
positive,mampus bangkrut bandar
positive,negara tunduk front bela islam lengser jabat libat
positive,mudah mudah gue ketemu sih babi iwan bopeng mungut suara nya anjing ahok
positive,itik be elor ayam rami ahok bangun benda mati manusia pas berswafoto dasar anus
positive,
positive,cerdas cebong otak takar junjung nya nya nama generasi lahir lahir got
positive,bicara sylvi lihat oke debat ahok sylvi langsung kuat goblok
positive,viktor agama kristen ancam bunuh orang islam
positive,cebong dongok 
positive,oh bera i mundur boneka
positive,bangsat dah ramah gue
positive,bola main lapang main main congor bapuk
positive,izin perintah goblok kasih izin
positive,admin bahan indonesia cocot otak pnh nafsu kuasa
positive,haha iya cacat kayak ya otak otak ayam wkwk
positive,amp langgar atur undang undang pakde diam kayak bangkai amp 
positive,kodok macan asia ya level laaah beda kelasss jauuuh orang orang dongoook dungu elu elu kodok sih munafik
positive,bank dunia otak onta sih dungu malas bego tolol ya onta
positive,dunia nafsu ya kang sayap kayak burung hantu uniform resource locator
positive,hafal surah alquran masuk ayat ayat rang bunuh penggal kafir ayat cocok cocok penis
positive,najis anjir goblok banget
positive,basi isu partai komunis indonesia
positive,uang muanas munafik
positive,indonesia cina
positive,tuju usir cina negeri
positive,kh ruf bicara belaga budek belaga pilon sundul ganti presiden 2019 goblok banget jokowi jokowi
positive,senang fan mati lupa bego banget uniform resource locator
positive,cerdas susilo bambang yudhoyono undang undang pilih sah a inya calon presiden calon wakil presiden curi stasiun kampanye agus harimurti yudhoyono manfaat
positive,hobi bodoh orang cerca ngedunguin orang orang enak jidat kacung cebong sok care hak asasi manusia jijik lihat orang panuan penuh panu
positive,salah dodol wkwk telur murah beli untung mahal beli bela dasar cebong kutuk
positive,ajak desak perintah atur islam larang indonesia salam
positive,trio provokator wiwo amun amp sok tipu uniform resource locator
